,image_game_rewards,ram_game_rewards,mix_game_rewards,Episode
483,1.0,2.0,3.0,483
484,1.0,6.0,4.0,484
485,11.0,4.0,6.0,485
486,4.0,3.0,1.0,486
487,4.0,3.0,9.0,487
488,1.0,5.0,1.0,488
489,3.0,2.0,4.0,489
490,3.0,10.0,14.0,490
491,5.0,8.0,2.0,491
492,9.0,12.0,2.0,492
493,11.0,4.0,4.0,493
494,5.0,3.0,5.0,494
495,4.0,6.0,5.0,495
496,1.0,2.0,8.0,496
497,4.0,4.0,3.0,497
498,4.0,3.0,3.0,498
499,1.0,16.0,5.0,499
